answer,true_answer,mark
"это то, что происходит в результате дифференцирования функции","Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
Нахождение производной (дифференцирование) - это нахождение некого предела отношения x. Обратная операция - нахождение интеграла (интегрирование).,"Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
Это предел отношения приращения функции к приращению его аргумента. С геометрической точки зрения это тангенс угла наклона касательной к графику функции в заданной точке.,"Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
"Это математическое действие, которое характеризует скорость изменения функции в данной точке. Это довольно сложный раздел в математике. Изучается в старших классах школы и продолжается изучение в университете. Чаще всего вычисления сопровождаются рисунком графика функций.","Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
Скорость измения функции в точке,"Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
Производная функции - что-то связанное с приращением. Можно посчитать по формуле.,"Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",0
"Пусть f(x) -- функция, зависящая от переменной x \in X. Производной функции f в точке x_0 \in D называется предел (f(x) - f(x_0)) / (x - x_0) при (x - x_0), стремящемся к 0.","Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
"Производная функции - это дифференциальное исчисление, которое характеризует скорость изменения функции в данной точке. Производная выводиться с помощью специальных формул. Обозначает как предел превращения функции к превращению к её аргументу.","Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
"В математике производная функции определяет скорость роста данной функции или же тангенс угла наклона касательной к данной функции. В формулах записывается как выражение с штрихом вверху. Производная может браться от производной, тем самым вводится понятие степени производной(первая, вторая и т.д).","Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
"Это предел приращения функции к приращению аргумента при приращении аргумента стремящемся к нулю, если этот предел существует в точке.","Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
Производная функции - отношение приращения функции к приращению аргумента. Производная для большинства базовых функций уже подсчитана.,"Производная функции — это скорость изменения функции, предел отношения приращения функции к приращению её аргумента при стремлении приращения аргумента к нулю",1
